when,time
3/5/2019 10:56,15
3/5/2019 10:56,31
3/5/2019 10:59,15
3/5/2019 10:59,31
3/5/2019 10:59,31
3/5/2019 10:59,15
3/5/2019 10:59,15
3/5/2019 10:59,15
3/5/2019 10:59,15
3/5/2019 10:59,15
3/5/2019 11:00,15
3/5/2019 11:00,15
3/5/2019 11:00,15
3/5/2019 11:00,46
3/5/2019 11:00,0
3/5/2019 11:00,15
3/5/2019 11:00,15
3/5/2019 11:01,15
3/5/2019 11:01,15
3/5/2019 11:01,15
3/5/2019 11:02,15
3/5/2019 11:02,31
3/5/2019 11:02,15
3/5/2019 11:03,15
3/5/2019 11:03,15
3/5/2019 11:03,15
3/5/2019 11:03,15
3/5/2019 11:03,15
3/5/2019 11:03,31
3/5/2019 11:03,31
3/5/2019 11:03,15
3/5/2019 11:03,15
3/5/2019 11:04,15
3/5/2019 11:04,15
3/5/2019 11:04,15
3/5/2019 11:04,15
3/5/2019 11:04,15
3/5/2019 11:04,15
3/5/2019 11:04,15
3/5/2019 11:05,15
3/5/2019 11:05,15
3/5/2019 11:05,0
3/5/2019 11:05,0
3/5/2019 11:05,15
3/5/2019 11:05,15
3/5/2019 11:05,15
3/5/2019 11:05,15
3/5/2019 11:05,15
3/5/2019 11:05,15
3/5/2019 11:05,15
3/5/2019 11:05,0
3/5/2019 11:06,31
3/5/2019 11:06,15
3/5/2019 11:06,265
3/5/2019 11:06,0
3/5/2019 11:06,15
3/5/2019 11:06,15
3/5/2019 11:06,0
3/5/2019 11:06,0
3/5/2019 11:07,31
3/5/2019 11:07,15
3/5/2019 11:07,0
3/5/2019 11:07,15
3/5/2019 11:07,15
3/5/2019 11:07,46
3/5/2019 11:07,15
3/5/2019 11:07,0
3/5/2019 11:07,0
3/5/2019 11:07,62
3/5/2019 11:07,31
3/5/2019 11:07,15
3/5/2019 11:08,15
3/5/2019 11:08,15
3/5/2019 11:08,15
3/5/2019 11:08,15
3/5/2019 11:08,0
3/5/2019 11:08,15
3/5/2019 11:08,15
3/5/2019 11:08,15
3/5/2019 11:09,156
3/5/2019 11:09,187
3/5/2019 11:09,31
3/5/2019 11:09,15
3/5/2019 11:12,15
3/5/2019 11:12,15
3/5/2019 11:12,15
3/5/2019 11:12,15
3/5/2019 11:12,15
3/5/2019 11:12,15
3/5/2019 11:13,31
3/5/2019 11:13,15
3/5/2019 11:13,78
3/5/2019 11:14,31
3/5/2019 11:14,46
3/5/2019 11:14,15
3/5/2019 11:14,15
3/5/2019 11:14,15
3/5/2019 11:14,15
3/5/2019 11:14,31
3/5/2019 11:14,15
3/5/2019 11:14,0
3/5/2019 11:14,0
3/5/2019 11:14,15
3/5/2019 11:14,78
3/5/2019 11:14,15
3/5/2019 11:15,15
3/5/2019 11:15,31
3/5/2019 11:15,0
3/5/2019 11:15,15
3/5/2019 11:15,0
3/5/2019 11:15,15
3/5/2019 11:16,15
3/5/2019 11:16,15
3/5/2019 11:16,15
3/5/2019 11:16,15
3/5/2019 11:16,15
3/5/2019 11:16,31
3/5/2019 11:17,15
3/5/2019 11:17,15
3/5/2019 11:17,15
3/5/2019 11:17,31
3/5/2019 11:17,15
3/5/2019 11:18,15
3/5/2019 11:18,15
3/5/2019 11:18,15
3/5/2019 11:18,15
3/5/2019 11:18,31
3/5/2019 11:19,15
3/5/2019 11:19,15
3/5/2019 11:19,0
3/5/2019 11:19,15
3/5/2019 11:19,15
3/5/2019 11:19,15
3/5/2019 11:19,15
3/5/2019 11:19,0
3/5/2019 11:19,15
3/5/2019 11:19,0
3/5/2019 11:19,0
3/5/2019 11:19,0
3/5/2019 11:19,15
3/5/2019 11:19,15
3/5/2019 11:20,15
3/5/2019 11:20,15
3/5/2019 11:20,15
3/5/2019 11:20,15
3/5/2019 11:21,0
3/5/2019 11:21,15
3/5/2019 11:22,0
3/5/2019 11:22,0
3/5/2019 11:22,15
3/5/2019 11:22,0
3/5/2019 11:22,15
3/5/2019 11:22,0
3/5/2019 11:23,15
3/5/2019 11:23,15
3/5/2019 11:23,15
3/5/2019 11:23,0
3/5/2019 11:23,15
3/5/2019 11:23,15
3/5/2019 11:23,15
3/5/2019 11:23,93
3/5/2019 11:23,15
3/5/2019 11:24,15
3/5/2019 11:24,15
3/5/2019 11:24,0
3/5/2019 11:24,15
3/5/2019 11:24,15
3/5/2019 11:24,15
3/5/2019 11:24,0
3/5/2019 11:24,15
3/5/2019 11:26,15
3/5/2019 11:26,15
3/5/2019 11:26,0
3/5/2019 11:26,15
3/5/2019 11:26,15
3/5/2019 11:26,15
3/5/2019 11:26,0
3/5/2019 11:26,15
3/5/2019 11:26,15
3/5/2019 11:26,15
3/5/2019 11:27,15
3/5/2019 11:27,15
3/5/2019 11:27,0
3/5/2019 11:27,0
3/5/2019 11:27,15
3/5/2019 11:29,0
3/5/2019 11:29,0
3/5/2019 11:29,0
3/5/2019 11:29,15
3/5/2019 11:29,62
3/5/2019 11:29,0
3/5/2019 11:32,0
3/5/2019 11:33,140
3/5/2019 11:33,140
3/5/2019 11:33,0
3/5/2019 11:33,31
3/5/2019 11:33,15
3/5/2019 11:33,31
3/5/2019 11:33,31
3/5/2019 11:33,15
3/5/2019 11:33,62
3/5/2019 11:33,15
3/5/2019 11:33,0
3/5/2019 11:33,46
3/5/2019 11:33,0
3/5/2019 11:33,0
3/5/2019 11:33,31
3/5/2019 11:33,0
3/5/2019 11:33,62
3/5/2019 11:33,46
3/5/2019 11:34,15
3/5/2019 11:34,15
3/5/2019 11:34,46
3/5/2019 11:34,15
3/5/2019 11:34,78
3/5/2019 11:34,31
3/5/2019 11:34,15
3/5/2019 11:34,0
3/5/2019 11:34,15
3/5/2019 11:34,15
3/5/2019 11:34,31
3/5/2019 11:34,15
3/5/2019 11:34,15
3/5/2019 11:34,0
3/5/2019 11:34,31
3/5/2019 11:34,31
3/5/2019 11:34,46
3/5/2019 11:34,0
3/5/2019 11:34,15
3/5/2019 11:34,15
3/5/2019 11:34,15
3/5/2019 11:34,31
3/5/2019 11:34,31
3/5/2019 11:34,15
3/5/2019 11:34,15
3/5/2019 11:34,15
3/5/2019 11:34,0
3/5/2019 11:35,15
3/5/2019 11:35,15
3/5/2019 11:35,15
3/5/2019 11:35,62
3/5/2019 11:35,0
3/5/2019 11:35,62
3/5/2019 11:35,93
3/5/2019 11:35,15
3/5/2019 11:35,15
3/5/2019 11:38,15
3/5/2019 11:38,46
3/5/2019 11:38,15
3/5/2019 11:38,15
3/5/2019 11:38,15
3/5/2019 11:38,15
3/5/2019 11:38,15
3/5/2019 11:38,15
3/5/2019 11:38,15
3/5/2019 11:39,0
3/5/2019 11:39,0
3/5/2019 11:39,0
3/5/2019 11:39,0
3/5/2019 11:39,15
3/5/2019 11:39,15
3/5/2019 11:39,0
3/5/2019 11:39,15
3/5/2019 11:39,31
3/5/2019 11:39,15
3/5/2019 11:39,15
3/5/2019 11:39,0
3/5/2019 11:40,187
3/5/2019 11:41,15
3/5/2019 11:41,15
3/5/2019 11:41,15
3/5/2019 11:41,15
3/5/2019 11:41,15
3/5/2019 11:44,109
3/5/2019 11:44,93
3/5/2019 11:44,31
3/5/2019 11:44,15
3/5/2019 11:44,15
3/5/2019 11:44,15
3/5/2019 11:44,15
3/5/2019 11:44,15
3/5/2019 11:44,0
3/5/2019 11:44,31
3/5/2019 11:46,15
3/5/2019 11:46,15
3/5/2019 11:46,15
3/5/2019 11:46,15
3/5/2019 11:46,15
3/5/2019 11:46,15
3/5/2019 11:46,15
3/5/2019 11:46,15
3/5/2019 11:48,15
3/5/2019 11:49,15
3/5/2019 11:49,15
3/5/2019 11:50,15
3/5/2019 11:50,15
3/5/2019 11:51,140
3/5/2019 11:51,109
3/5/2019 11:51,0
3/5/2019 11:51,124
3/5/2019 11:51,15
3/5/2019 11:51,0
3/5/2019 11:51,15
3/5/2019 11:51,15
3/5/2019 11:51,15
3/5/2019 11:51,15
3/5/2019 11:51,15
3/5/2019 11:51,15
3/5/2019 11:51,31
3/5/2019 11:51,15
3/5/2019 11:51,15
3/5/2019 11:51,15
3/5/2019 11:51,15
3/5/2019 11:52,15
3/5/2019 11:52,15
3/5/2019 11:52,31
3/5/2019 11:52,15
3/5/2019 11:52,31
3/5/2019 11:52,15
3/5/2019 11:52,0
3/5/2019 11:52,0
3/5/2019 11:52,0
3/5/2019 11:52,15
3/5/2019 11:52,15
3/5/2019 11:52,15
3/5/2019 11:52,0
3/5/2019 11:52,15
3/5/2019 11:52,15
3/5/2019 11:52,0
3/5/2019 11:52,15
3/5/2019 11:52,0
3/5/2019 11:52,15
3/5/2019 11:53,109
3/5/2019 11:53,15
3/5/2019 11:53,31
3/5/2019 11:53,15
3/5/2019 11:53,31
3/5/2019 11:53,15
3/5/2019 11:53,31
3/5/2019 11:53,0
3/5/2019 11:53,15
3/5/2019 11:53,15
3/5/2019 11:53,0
3/5/2019 11:53,15
3/5/2019 11:53,15
3/5/2019 11:53,0
3/5/2019 11:53,15
3/5/2019 11:53,15
3/5/2019 11:53,15
3/5/2019 11:54,15
3/5/2019 11:54,15
3/5/2019 11:54,15
3/5/2019 11:54,15
3/5/2019 11:54,31
3/5/2019 11:54,0
3/5/2019 11:54,0
3/5/2019 11:54,0
3/5/2019 11:54,15
3/5/2019 11:54,0
3/5/2019 11:54,15
3/5/2019 11:54,15
3/5/2019 11:54,15
3/5/2019 11:54,15
